time,"Strain_Gauge_7","Strain_Gauge_8","Strain_Gauge_9","Vault_temp"
"2022-07-16 11:10","17189.267903645832","92102.99715909091","82216.33925189394","24.609568921825552"
"2022-07-16 11:20","17184.608436333954","92103.93313899254","82216.81679104478","24.617233391672897"
"2022-07-16 11:30","17182.40126289442","92108.25694023058","82216.73308555825","24.621087196951585"
"2022-07-16 11:40","17180.586002876567","92108.540234375","82217.99838867187","24.639871053780073"
"2022-07-16 11:50","17187.881605558454","92105.33825352296","82218.25606367677","24.641837458456717"
"2022-07-16 12:00","17190.355509525052","92103.91447025053","82218.33287121607","24.629472050856165"
"2022-07-16 12:10","17190.51386391867","92107.6081217448","82219.52821633611","24.653241850343097"
"2022-07-16 12:20","17188.28581272834","92108.45493164062","82219.41031901042","24.63543056226573"
"2022-07-16 12:30","17188.63176238886","92104.40868019311","82219.06303823068","24.64066989553123"
"2022-07-16 12:40","17189.094061189728","92106.00961035564","82219.7245279948","24.659462590371408"
"2022-07-16 12:50","17188.973371306223","92107.55827570459","82220.50088074112","24.645535660467605"
"2022-07-16 13:00","17188.84727135744","92103.63678412657","82219.90999348958","24.6497137333591"
"2022-07-16 13:10","17190.512278536873","92108.10930948638","82220.80803804916","24.651644565629873"
"2022-07-16 13:20","17189.459375","92106.61263020833","82221.77932942708","24.62887734217001"
"2022-07-16 13:30","17187.712592344404","92105.27223055846","82220.74794921876","24.643366884930703"
"2022-07-16 13:40","17185.548868900052","92111.03774138831","82221.43190104167","24.640324937251577"
"2022-07-16 13:50","17185.849633840033","92115.76248692468","82222.89856825313","24.623798592380744"
"2022-07-16 14:00","17183.91774856472","92113.84954427084","82222.54258546451","24.58240423219275"
"2022-07-16 14:10","17181.846388145877","92114.35635764613","82222.59518229167","24.55620601957878"
"2022-07-16 14:20","17181.863334147136","92108.84267578126","82221.43992513021","24.5162834057705"
"2022-07-16 14:30","17182.95428466797","92109.06419624217","82219.75787760416","24.49815340395327"
"2022-07-16 14:40","17179.132191422595","92108.43732096354","82219.48305388831","24.500130580021786"
"2022-07-16 14:50","17177.103773584906","92105.01547851562","82218.15169270833","24.481719377605316"
"2022-07-16 15:00","17176.906962076824","92101.31819661458","82216.86123046876","24.45779795004121"
"2022-07-16 15:10","17177.05627364953","92102.82394089959","82216.47182617188","24.448828705644186"
"2022-07-16 15:20","17180.844402400835","92094.60405273437","82215.03046875","24.45611772755887"
"2022-07-16 15:30","17178.42706705729","92093.12778320312","82213.81868489583","24.45344820275771"
"2022-07-16 15:40","17176.2230239932","92091.6158203125","82212.43504231771","24.451941664789764"
"2022-07-16 15:50","17173.28731689453","92092.25530598959","82212.95239257812","24.43430720816413"
"2022-07-16 16:00","17172.319567871094","92094.0014709728","82211.71469726562","24.42146195800343"
"2022-07-16 16:10","17171.80802987709","92089.32919921874","82209.701171875","24.42175585787061"
"2022-07-16 16:20","17170.83290566161","92090.9993802192","82208.26767578124","24.435025948614253"
"2022-07-16 16:30","17172.877760471034","92089.55861002604","82208.64580078125","24.440872394218648"
"2022-07-16 16:40","17172.63308217835","92086.46950026097","82208.10706380209","24.403117945496465"
"2022-07-16 16:50","17165.309517415364","92087.28111979166","82207.45258789063","24.413249152047293"
"2022-07-16 17:00","17165.867541503907","92087.605078125","82205.16746419271","24.412710495266627"
"2022-07-16 17:10","17165.88524169922","92090.18276367188","82205.68194986979","24.438859378590305"
"2022-07-16 17:20","17163.73706207594","92092.6390625","82206.34490559896","24.42859679208675"
"2022-07-16 17:30","17165.314884440104","92088.8900052192","82205.11826171874","24.423410212739984"
"2022-07-16 17:40","17171.37228030402","92082.15208333333","82202.91904296874","24.39733009745642"
"2022-07-16 17:50","17172.428019800365","92084.15797526042","82202.57493489583","24.39753926776058"
"2022-07-16 18:00","17170.93688300863","92085.10240885416","82202.97465820312","24.40459442138672"
"2022-07-16 18:10","17169.818175887263","92087.56723632812","82202.69663085937","24.398296685866367"
"2022-07-16 18:20","17165.4792210334","92085.86540970772","82201.46075846354","24.404586954897407"
"2022-07-16 18:30","17164.809401096034","92088.38464688155","82202.07366536459","24.40534947578659"
"2022-07-16 18:40","17165.30576578776","92086.29441731771","82202.27939453124","24.391710021432523"
"2022-07-16 18:50","17165.58909348904","92081.92029622397","82201.06953125","24.396485906299436"
"2022-07-16 19:00","17167.75088297526","92075.64698893229","82199.61142578124","24.401644015901923"
"2022-07-16 19:10","17171.461665852865","92079.70695754717","82199.34913736979","24.37204344022761"
"2022-07-16 19:20","17168.09511188674","92080.79184100419","82199.45833333333","24.362743798524036"
"2022-07-16 19:30","17165.539282226564","92078.860157881","82198.49054361979","24.388018734240656"
"2022-07-16 19:40","17167.632660999738","92079.77776692709","82197.78706054688","24.394497376027463"
"2022-07-16 19:50","17169.748946126303","92076.7963204593","82197.24721679688","24.378027636458565"
"2022-07-16 20:00","17168.883182779948","92074.51247716598","82196.55857747396","24.358517788826152"
"2022-07-16 20:10","17163.628433259393","92082.27395833333","82197.22698567709","24.3559056303909"
"2022-07-16 20:20","17162.38320719401","92082.51817468619","82196.13092447916","24.385662750459055"
"2022-07-16 20:30","17166.782379468947","92082.21105167015","82194.98725585938","24.391552831944523"
"2022-07-16 20:40","17170.22781575521","92073.22799479167","82194.30182291666","24.378530073587875"
"2022-07-16 20:50","17167.700358753922","92070.91155598959","82193.95356445313","24.385373773421833"
"2022-07-16 21:00","17169.75442001566","92070.18909505209","82193.46189778646","24.387113547536124"
"2022-07-16 21:10","17169.014844567206","92067.8743789226","82193.84755859376","24.37670821194962"
"2022-07-16 21:20","17170.33914388021","92065.66853144571","82192.42180989584","24.376291103463956"
"2022-07-16 21:30","17170.092881944445","92071.60445963542","82193.42967122396","24.367072653263172"
"2022-07-16 21:40","17162.481864420573","92071.3209322808","82192.42420247397","24.357518983776572"
"2022-07-16 21:50","17167.088744606433","92071.11806824112","82192.2461751302","24.363764863534563"
"2022-07-16 22:00","17166.17790563022","92068.98977864583","82191.73162434896","24.381014793584708"
"2022-07-16 22:10","17162.037719726562","92071.47618736952","82191.78266601563","24.37105238353107"
"2022-07-16 22:20","17162.60156656901","92069.86310221354","82191.28107096354","24.349156105539365"
"2022-07-16 22:30","17169.11765136719","92064.38261637029","82190.25340169271","24.35691115196715"
"2022-07-16 22:40","17163.555257161457","92071.29841457024","82190.00174153646","24.35946227482387"
"2022-07-16 22:50","17164.063631184898","92066.20074869791","82190.4471842448","24.342885266922707"
"2022-07-16 23:00","17162.58388264974","92068.280078125","82189.25325520833","24.35266215278503"
"2022-07-16 23:10","17161.37775639353","92068.85247395834","82189.50947265625","24.366054933261026"
"2022-07-16 23:20","17162.44084355428","92069.83287121607","82188.40880533853","24.36533477243069"
"2022-07-16 23:30","17160.048201497397","92072.27895028706","82189.19086914063","24.38612926469675"
"2022-07-16 23:40","17160.063020833335","92066.98627929688","82188.26459960938","24.37814604688449"
"2022-07-16 23:50","17160.09848398356","92070.88131197808","82188.63642578125","24.38103498634717"
"2022-07-17 00:00","17163.829152531314","92064.92458812761","82187.93784179687","24.40326581487502"
"2022-07-17 00:10","17161.746944173177","92070.76005859375","82187.51946614584","24.387088714653814"
"2022-07-17 00:20","17167.330782063804","92065.23860677083","82186.90734049478","24.380403153439786"
"2022-07-17 00:30","17166.4357018202","92069.19440104166","82186.82303627349","24.39648996631374"
"2022-07-17 00:40","17162.32925854645","92069.23520507812","82187.25139973959","24.399126919833098"
"2022-07-17 00:50","17164.864626826722","92065.19387721816","82186.11813151042","24.396898375050483"
"2022-07-17 01:00","17168.077709960937","92063.73625065241","82186.0935546875","24.398611641604152"
"2022-07-17 01:10","17168.620392419103","92061.71425536087","82185.37659838205","24.39967452304464"
"2022-07-17 01:20","17167.83303222656","92062.28346354167","82185.48707682292","24.384874997820173"
"2022-07-17 01:30","17166.025928855688","92062.17975260416","82184.58212890624","24.391753145808426"
"2022-07-17 01:40","17165.172306315104","92067.73082682291","82185.03229166666","24.388147059384714"
"2022-07-17 01:50","17166.2162882487","92061.81646333507","82184.15327148438","24.397735908494703"
"2022-07-17 02:00","17166.357658370303","92065.02739278243","82184.08948567709","24.390630651403356"
"2022-07-17 02:10","17164.849646072547","92061.61171875","82183.450390625","24.380670056451642"
"2022-07-17 02:20","17166.020321508124","92063.69493815103","82183.06572265625","24.378344361971966"
"2022-07-17 02:30","17165.06699341075","92062.42766505742","82183.2188313802","24.397247843895094"
"2022-07-17 02:40","17163.083911132813","92066.87467447917","82182.43307291667","24.38937792096819"
"2022-07-17 02:50","17158.44842122396","92069.24806315104","82183.19186197917","24.384427397448064"
"2022-07-17 03:00","17158.934551963728","92069.53724830021","82182.28364757307","24.375911518224303"
"2022-07-17 03:10","17162.064860875522","92066.78051604905","82182.21979166666","24.38287886082597"
"2022-07-17 03:20","17161.78096923828","92064.01355794272","82180.79557291667","24.384786250112747"
"2022-07-17 03:30","17161.67359113494","92063.60919596354","82180.85512695313","24.402759675056704"
"2022-07-17 03:40","17161.234533691408","92062.89975585937","82180.45558268229","24.39699381857415"
"2022-07-17 03:50","17160.08645942067","92067.27759655533","82180.60670572917","24.38065957604058"
"2022-07-17 04:00","17159.907157389323","92062.82942708333","82180.19031575522","24.360210432373922"
"2022-07-17 04:10","17162.155605754175","92062.98453810021","82178.86951497397","24.384329534209936"
"2022-07-17 04:20","17161.00513357907","92061.42815755209","82179.08009440104","24.392946219571318"
"2022-07-17 04:30","17162.22967122396","92063.13616536459","82178.4065266927","24.39697898240276"
"2022-07-17 04:40","17156.41975061978","92064.10076330898","82178.9845703125","24.42547767106877"
"2022-07-17 04:50","17153.64872412212","92064.68391179541","82178.86236979166","24.405819864188675"
"2022-07-17 05:00","17157.663641638337","92061.96365559896","82178.2018717448","24.395586376121823"
"2022-07-17 05:10","17156.12941080729","92063.55162760416","82178.4795735677","24.3973285354314"
"2022-07-17 05:20","17154.50616048177","92064.05852864584","82176.9229329427","24.391143798828125"
"2022-07-17 05:30","17158.851883951822","92064.92535807291","82177.01886393229","24.3893977282519"
"2022-07-17 05:40","17159.12079264323","92058.25470377604","82176.73323567708","24.409405927354793"
