date,Vault_temp,Strain_Gauge_7,Strain_Gauge_8,Strain_Gauge_9,p1ex,p1ey
2022-08-24,23.91393949,16948.05488,91771.45615,82122.69785,-0.820666928,-0.002861505
2022-08-25,23.84661204,16918.95093,91719.90394,82082.55866,-0.819326271,-0.002294701
2022-08-26,23.79305379,16913.91244,91718.215,82083.54576,-0.819108841,-0.002049498
2022-08-27,23.78946427,16914.1923,91718.82601,82084.28047,-0.814172302,-0.012946523
2022-08-28,23.79119467,16914.97881,91719.61201,82084.92383,-0.813618141,-0.013897038
2022-08-29,23.79330132,16915.7452,91720.34477,82085.50014,-0.813552093,-0.013767356
2022-08-30,23.79525601,16916.4406,91721.00626,82086.01788,-0.813540799,-0.013541326
2022-08-31,24.11545157,16889.04687,91545.77575,81904.62774,-0.813535998,-0.013326004
2022-09-01,24.26239415,16961.94124,91704.44018,82030.34436,-0.813532278,-0.013131131
2022-09-02,24.1491122,17005.12204,91753.66685,82079.08079,-0.813529001,-0.012955842
2022-09-03,24.13522439,17009.49539,91759.03176,82084.62936,-0.813526063,-0.012798287
2022-09-04,24.1325259,17009.5944,91759.52765,82085.35977,-0.813523424,-0.012656686
2022-09-05,24.13118921,17009.25706,91759.49201,82085.54263,-0.813521052,-0.012529424
2022-09-06,24.13010899,17008.90645,91759.40643,82085.65428,-0.81351892,-0.01241505
2022-09-07,25.02315908,17315.59524,92151.52992,82352.44544,-0.825892004,0.025208742
2022-09-08,25.10973333,17348.98026,92196.91041,82375.92494,-0.827139032,0.029087335
2022-09-09,25.27259913,17376.41511,92235.77101,82406.77335,-0.827161222,0.029242334
2022-09-10,25.32821382,17335.26857,92188.00939,82355.64763,-0.827058931,0.029011024
2022-09-11,25.32515703,17328.35173,92179.79926,82348.29115,-0.827745398,0.0090609
2022-09-12,25.3165082,17325.48039,92176.2832,82345.97367,-0.827728959,0.006844407
2022-09-13,25.30807857,17323.27201,92173.55298,82344.36867,-0.827643709,0.006600761
2022-09-14,25.30042952,17321.32869,92171.14708,82342.97937,-0.82013425,0.007269328
2022-09-15,25.29354694,17319.58677,92168.99013,82341.73668,-0.819308222,0.007338945
2022-09-16,25.28736044,17318.02176,92167.0522,82340.62049,-0.825758879,0.003382402
2022-09-17,25.28180034,17316.61529,92165.31059,82339.6174,-0.818991645,0.011889331
2022-09-18,25.27680328,17315.35126,92163.74536,82338.71591,-0.818261674,0.012776984
2022-09-19,25.27231227,17314.21524,92162.33863,82337.9057,-0.818201126,0.012822821
2022-09-20,25.26827605,17313.19426,92161.07437,82337.17755,-0.81821297,0.012780351
2022-09-21,25.26464857,17312.27667,92159.93813,82336.52313,-0.818230987,0.012732872
2022-09-22,25.25225357,17124.67391,91893.78487,82131.53063,-0.82696,0.017144166
2022-09-23,25.23882469,17126.71671,91888.66143,82132.7894,-0.812113501,0.00785232
2022-09-24,25.23520748,17127.87516,91889.60339,82134.18399,-0.822237636,0.008826427
2022-09-25,23.54274268,17208.84237,91985.12827,82224.45286,-0.823327663,0.008939459
2022-09-26,23.1493842,17203.08498,92004.40447,82232.27912,-0.823416176,0.008956211
2022-09-27,23.1465489,17213.30989,92052.68041,82274.59432,-0.823396571,0.008961827
2022-09-28,23.09988757,17237.2544,92100.52251,82321.28659,-0.823367919,0.008965824
2022-09-29,23.21070316,17261.81602,92142.68913,82355.15269,-0.823340941,0.0089693
2022-09-30,23.22041086,17272.29963,92156.20356,82362.93924,-0.823316559,0.008972411
2022-10-01,23.01286113,17238.82055,92117.08811,82331.56946,-0.82329463,0.008975205
2022-10-02,22.92155761,17216.05071,92125.55343,82322.83416,-0.821393921,0.048775716
2022-10-03,23.03386626,17219.53411,92148.57527,82335.57405,-0.821186397,0.052793952
2022-10-04,23.08976127,17247.18332,92188.25697,82364.00562,-0.821166869,0.05287232
2022-10-05,23.09293913,17256.61887,92203.8133,82375.35595,-0.821167898,0.052549648
2022-10-06,23.1706341,17253.96563,92208.57935,82372.13037,-0.82117089,0.052215913
2022-10-07,23.26049088,17222.75246,92171.60234,82333.46805,-0.821173809,0.051911107
2022-10-08,23.26488011,17180.60291,92115.26058,82282.28903,-0.821176458,0.051636627
2022-10-09,23.18586319,17138.09259,92055.31242,82233.01738,-0.821178842,0.051389882
2022-10-10,23.12612868,17078.36325,92006.22847,82177.27091,-0.821180984,0.051168119
2022-10-11,23.2456239,17040.54084,91973.7097,82156.06373,-0.82118291,0.050968811
2022-10-12,23.27071219,16989.56375,91909.67173,82094.7746,-0.819105641,-0.009798312
2022-10-13,23.09082913,16918.15545,91820.46315,82013.70552,-0.818897406,-0.016073177
2022-10-14,23.07134707,16893.81036,91810.09407,82006.1152,-0.818894816,-0.016334077
2022-10-15,23.04875205,16944.73897,91859.17113,82065.31265,-0.818418024,-0.0028031
2022-10-16,23.00167068,16997.72839,91899.90969,82119.36997,-0.894814722,-0.096516723
2022-10-17,22.9063085,17004.26816,91920.0819,82124.89809,-0.902543067,-0.105760581
2022-10-18,23.07536244,16968.83653,91918.61255,82103.64463,-0.902709026,-0.105725514
2022-10-19,23.0900399,16941.1449,91882.97423,82067.86419,-0.822606809,-0.026852711
2022-10-20,23.04073864,16955.94855,91875.57405,82072.13354,-0.857417975,-0.056931687
2022-10-21,23.04177911,16994.80576,91917.00778,82110.73562,-0.819299473,-0.009932733
2022-10-22,23.23800695,16984.77084,91937.78698,82102.57729,-0.817377671,-0.013923891
2022-10-23,23.31668542,16980.17874,91941.3589,82082.59397,-0.8204275,-0.017146857
2022-10-24,23.25936958,16958.23347,91913.73362,82037.97534,-0.820910008,-0.017482936
2022-10-25,23.1312118,16899.55047,91849.02392,81989.08259,-0.821092358,-0.01750008
2022-10-26,23.29271622,16960.98717,91918.30533,82060.89563,-0.821228281,-0.017483787
2022-10-27,23.46932849,17089.60816,92044.65173,82169.1258,-0.831643328,0.002433383
2022-10-28,23.61363106,17229.76807,92173.15043,82285.24559,-0.832887933,0.018417095
2022-10-29,23.62769217,17348.81093,92304.96992,82379.72974,-0.83301348,0.019878928
2022-10-30,23.60533975,17430.55069,92391.72456,82448.20152,-0.840044821,0.043022008
2022-10-31,23.38360345,17408.86268,92370.31168,82415.24215,-0.840743921,0.045100335
2022-11-01,23.1327042,17262.2729,92242.2084,82305.38882,-0.840746878,0.044885138
2022-11-02,23.11259566,17115.69893,92121.73612,82204.82042,-0.840679955,0.044459956
2022-11-03,22.99850084,17053.01171,92071.63847,82159.47362,-0.829623067,0.037419041
2022-11-04,22.96080257,17077.23419,92084.87154,82188.50427,-0.826472302,0.023312236
2022-11-05,22.55715096,17013.76621,92021.41686,82139.64382,-0.912424718,-0.072896546
